Ticker,Event_Date,T_Zero_AR,11_Day_CAR,Model_R_Squared,Dividend_Amount,Scaled_Yield,Log_Volume,VIX_Raw,USD_INR_Raw,NASDAQ_Raw,VIX_Z,USD_INR_Z,NASDAQ_Z
LTTS.NS,2023-07-07,-0.0062698462516009,0.0052278233618548,0.4042722866927136,30.0,0.007608130743943679,12.198267262630514,14.829999923706055,82.76840209960938,13660.7197265625,-1.1070470709065867,1.141187260258947,0.3638862614557463
LTTS.NS,2023-10-27,-0.0025014505411789,0.0162684959316048,0.3343278509562722,17.0,0.004070637533672553,11.95110942564112,21.270000457763672,83.28250122070312,12643.009765625,0.12981700949488592,1.2751544734849305,-0.352029717078356
SONATSOFTW.NS,2020-11-18,-0.0147364228578781,-0.0136841631015544,0.2346638803450845,1.5,0.011827321396366018,13.346699816944385,23.84000015258789,74.47969818115234,11801.599609375,0.6234101842718468,-1.0187358355996157,-0.9439262283450314
SONATSOFTW.NS,2021-08-06,0.0294396371554727,-0.0265943306825604,0.0508674613652395,3.75,0.011872959335114277,14.755117345653016,16.149999618530273,74.08200073242188,14835.759765625,-0.8535284259880435,-1.1223703619535104,1.190477305732497
SONATSOFTW.NS,2021-10-29,-0.0096309768196756,-0.0405395571918814,0.0323544992082096,3.0,0.00956480171649583,13.605585506069229,16.260000228881836,74.79720306396484,15498.3896484375,-0.8324017501366112,-0.9359983972520474,1.6566094447189816
SONATSOFTW.NS,2022-06-15,0.0107700994571477,-0.0028831570593835,0.1415218268399403,4.875,0.018867924528301886,11.663197202848528,29.6200008392334,77.9854965209961,11099.150390625,1.733514942214048,-0.10517264427974503,-1.4380695885501948
SONATSOFTW.NS,2022-10-31,0.008667100316873,0.0281690019521593,0.1909533781873993,3.5,0.013372814665694208,12.490822924472283,25.8799991607666,82.23919677734375,10988.150390625,1.0152116265119606,1.0032835772153887,-1.5161534009008981
SONATSOFTW.NS,2023-07-21,0.0109636499526791,-0.0311065409153274,0.0484122257872348,4.375,0.008357211079274117,13.639725193648452,13.600000381469727,82.0823974609375,14032.8095703125,-1.343280320369351,0.9624238157553922,0.625635752779868
SONATSOFTW.NS,2023-11-07,0.0068292833465254,-0.0172173078647645,0.055382484881072,3.5,0.0055511498810467885,13.635685083363601,14.8100004196167,83.2228012084961,13639.8603515625,-1.1108881681399096,1.259597465241233,0.34921257205707107
CYIENT.NS,2021-06-03,-0.0182236758552596,-0.021195273093872,0.0715991574817074,17.0,0.021167974743862856,12.59526947317361,18.040000915527344,72.96510314941406,13614.509765625,-0.4905354877413466,-1.4134186258292767,0.33137950543252936
CYIENT.NS,2021-10-26,0.0007389128291967,-0.0004623388808696,0.0462439144121037,10.0,0.009190753688923055,12.573534698838131,15.979999542236328,75.08989715576172,15235.7099609375,-0.8861785767017748,-0.8597263123624351,1.4718253778082484
CYIENT.NS,2022-05-23,-0.0101289528158384,-0.0182165025114864,0.1791403892807656,14.0,0.017861699691296664,11.132235892843465,28.479999542236328,77.81839752197266,11535.26953125,1.5145667218824015,-0.14871636243354253,-1.1312781909005327
CYIENT.NS,2022-10-25,-0.0224240919411176,-0.0350215021624187,0.2338440372874034,10.0,0.013245910111009684,12.421071115547264,28.459999084472656,82.7614974975586,11199.1201171875,1.5107254414867481,1.1393880152160656,-1.3677451077424707
CYIENT.NS,2023-06-12,0.0282740664454261,0.022364467483787,0.0761893522132096,16.0,0.01112385738629579,13.892374372151794,15.010000228881836,82.4448013305664,13461.919921875,-1.072476279995029,1.0568613171718626,0.22403899438750105
CYIENT.NS,2023-11-01,0.0291940730004472,0.0102100153609885,0.0539807075834856,12.0,0.0073385520782336955,12.978430649382233,16.8700008392334,83.2771987915039,13061.4697265625,-0.7152452623418118,1.2737727328166404,-0.05766080657271285
ZENSARTECH.NS,2021-01-29,-0.001822863505723,-0.1008960343461959,0.0489943279345748,1.2,0.005090137857900318,11.284982916869305,33.09000015258789,72.93879699707031,13070.6904296875,2.399961705224137,-1.420273650036851,-0.05117443132447822
ZENSARTECH.NS,2021-09-15,0.1611203160663006,-0.031778641577347,0.0481234082551998,2.4,0.004142931211070068,16.145734844939998,18.18000030517578,73.65080261230469,15161.5302734375,-0.4636472576210953,-1.2347347059685012,1.419643100339926
ZENSARTECH.NS,2022-02-03,-0.0003222827500418,-0.1383707849178951,0.1376164414488949,1.5,0.003500583430571762,13.035301090027879,24.350000381469727,74.82240295410156,13878.8203125,0.7213606364130405,-0.929431649874548,0.5173108130406309
ZENSARTECH.NS,2022-07-14,0.007748228662462,-0.0981076447121574,0.3373626644674239,3.5,0.013866878306801538,12.582009384267042,26.399999618530273,79.80750274658203,11251.1904296875,1.115082718850981,0.3696173067375593,-1.33111584188398
ZENSARTECH.NS,2023-02-03,-0.0014825732298715,0.1324863721451321,0.3025370930381348,1.5,0.006380263551926678,13.360512184655484,18.329999923706055,82.0458984375,12006.9501953125,-0.43483838730301744,0.9529126684789897,-0.7994707633139437
ZENSARTECH.NS,2023-07-21,0.0761846614905785,0.0445987635254233,0.1159510970514956,3.5,0.0072127769191138585,16.24690707202177,13.600000381469727,82.0823974609375,14032.8095703125,-1.343280320369351,0.9624238157553922,0.625635752779868
BSOFT.NS,2020-11-12,-0.0142964509162571,0.0419548391394729,0.3349060708429039,1.0,0.005649717514124294,13.177735641472529,25.350000381469727,74.56999969482422,11709.58984375,0.9134202602997746,-0.9952044938012251,-1.0086512127909295
BSOFT.NS,2021-07-15,0.0542625820737962,-0.0329639396838439,0.2543667010579024,2.5,0.005961607162544981,16.451042394611598,17.010000228881836,74.46910095214844,14543.1298828125,-0.6883570322215606,-1.0214973288201263,0.9846245412483571
BSOFT.NS,2021-11-02,-0.0096495725448671,0.0998124200431099,0.1902924014113513,1.5,0.003676020205546608,13.55426786430104,16.030000686645508,74.82990264892578,15649.599609375,-0.8765753757126414,-0.927477331778247,1.7629792664793504
BSOFT.NS,2022-07-14,-0.0662333838021455,-0.1344178609025902,0.450387317566821,3.0,0.009447331492123668,15.72366899435655,26.399999618530273,79.80750274658203,11251.1904296875,1.115082718850981,0.3696173067375593,-1.33111584188398
BSOFT.NS,2022-11-01,0.0063182679503926,-0.001549624625808,0.5053321443649949,1.5,0.005392773801599421,14.592779193709529,25.809999465942383,82.72899627685547,10890.849609375,1.001767511451835,1.1309186407600718,-1.5846003913937075
BSOFT.NS,2023-07-14,0.0019604453934834,0.1404894860465039,0.3351208031140824,2.0,0.005267316133004233,15.79845882025339,13.34000015258789,82.03079986572266,14113.7001953125,-1.3932158665388612,0.9489781867774846,0.6825388913693375
BSOFT.NS,2023-11-08,-0.0045907447393806,-0.0029710406478241,0.2264795396379552,4.0,0.0068781705510481345,14.05330939406083,14.449999809265137,83.23269653320312,13650.41015625,-1.1800297499630255,1.2621760517833511,0.356633914125137
