Ticker,Event_Date,T_Zero_AR,11_Day_CAR,Model_R_Squared
BSOFT.NS,2022-07-14,-0.06623338380214551,-0.13441786090259028,0.45038731756682104
BSOFT.NS,2022-11-01,0.0063182679503926,-0.0015496246258080645,0.5053321443649949
BSOFT.NS,2023-07-14,0.0019604453934834107,0.1404894860465039,0.33512080311408243
BSOFT.NS,2023-11-08,-0.004590744739380691,-0.002971040647824118,0.2264795396379552
FSL.NS,2021-02-17,-0.02554093343253081,0.015078095792238911,0.08558972068594106
FSL.NS,2022-02-17,-0.012401114747019956,-0.056163759990506795,0.10305890386675653
FSL.NS,2023-02-17,-0.010353768198037629,-0.03956880662088391,0.4748505982690585
ECLERX.NS,2021-09-15,0.032533305552167116,-0.06313060706208164,0.07950790940576369
ECLERX.NS,2022-08-19,-0.00037451491348520225,0.0002698064253092822,0.16241065760188933
ECLERX.NS,2023-08-31,-0.01676546702066368,0.04478522263423182,0.016550598824637386
MASTEK.NS,2020-11-09,-0.0001732815667909761,0.03850993006470223,0.15102482632530334
MASTEK.NS,2021-09-23,-0.011883091712106778,-0.028964247983561224,0.10889772688658161
MASTEK.NS,2022-01-31,-0.01959269873950978,-0.0852254448408798,0.1141268765997353
MASTEK.NS,2022-09-08,-0.0015974763931555702,0.016890579357582647,0.2596487607726321
MASTEK.NS,2023-02-01,-0.0019377225005671318,-0.06531807621152366,0.20901983200042862
MASTEK.NS,2023-09-18,-0.004802254371482817,0.030823570123543406,0.1755259066348509
INTELLECT.NS,2022-07-21,0.01598878933282698,-0.16011552287464398,0.210363999840404
INTELLECT.NS,2023-07-21,0.02999722014822727,0.1048997562238595,0.1683220976495352
